Depth,Calcite,Dolomite,Pyrite,Porosity,Bulk_Porosity,Volume_Closure,RMSE
3344.8,0.5732,0.0,0.1951,0.2317,0.211,1.0,0.2604
3344.9,0.5863,0.0,0.1889,0.2249,0.2058,1.0,0.2539
3345.0,0.5946,0.0,0.1828,0.2225,0.2043,1.0,0.2418
3345.1,0.5894,0.0,0.1829,0.2277,0.2101,1.0,0.2378
3345.2,0.5679,0.0,0.191,0.2411,0.2229,1.0,0.2446
3345.3,0.5476,0.0,0.1996,0.2528,0.2322,1.0,0.2564
3345.4,0.5398,0.0,0.2027,0.2576,0.2347,1.0,0.2635
3345.5,0.5509,0.0,0.1972,0.2519,0.2282,1.0,0.2605
3345.6,0.566,0.0,0.1901,0.244,0.2207,1.0,0.2537
3345.7,0.5737,0.0,0.1871,0.2391,0.2171,1.0,0.2522
3345.8,0.5714,0.0,0.1893,0.2393,0.2192,1.0,0.2569
3345.9,0.5684,0.0,0.1919,0.2397,0.2215,1.0,0.2626
3346.0,0.5682,0.0,0.1926,0.2392,0.2225,1.0,0.2667
3346.1,0.5651,0.0,0.1941,0.2407,0.225,1.0,0.2684
3346.2,0.5556,0.0,0.1993,0.2452,0.23,1.0,0.2729
3346.3,0.5478,0.0,0.2049,0.2473,0.2314,1.0,0.278
3346.4,0.5422,0.0,0.2094,0.2484,0.2323,1.0,0.2813
3346.5,0.5425,0.0,0.2097,0.2479,0.232,1.0,0.28
3346.6,0.5512,0.0,0.2043,0.2445,0.2287,1.0,0.2726
3346.7,0.5689,0.0,0.1935,0.2376,0.2216,1.0,0.2587
3346.8,0.59,0.0,0.1804,0.2295,0.213,1.0,0.2428
3346.9,0.6044,0.0,0.171,0.2246,0.2076,1.0,0.2339
3347.0,0.6024,0.0,0.1705,0.2271,0.2097,1.0,0.2374
3347.1,0.5955,0.0,0.1756,0.2288,0.2103,1.0,0.254
3347.2,0.5805,0.0,0.1852,0.2344,0.2153,1.0,0.2682
3347.3,0.5695,0.0,0.1925,0.238,0.2193,1.0,0.2719
3347.4,0.5657,0.0,0.1953,0.239,0.2204,1.0,0.2649
3347.5,0.5697,0.0,0.1934,0.2369,0.2179,1.0,0.2529
3347.6,0.5754,0.0,0.1899,0.2347,0.2143,1.0,0.2428
3347.7,0.5798,0.0,0.1877,0.2325,0.211,1.0,0.2426
3347.8,0.5788,0.0,0.1893,0.2319,0.2095,1.0,0.2507
3347.9,0.5774,0.0,0.1924,0.2302,0.2075,1.0,0.2612
3348.0,0.5768,0.0,0.195,0.2282,0.2063,1.0,0.2674
3348.1,0.5809,0.0,0.1951,0.224,0.2036,1.0,0.2682
3348.2,0.5852,0.0,0.1939,0.2209,0.2021,1.0,0.2618
3348.3,0.5926,0.0,0.1907,0.2168,0.1983,1.0,0.252
3348.4,0.5967,0.0,0.1878,0.2155,0.1974,1.0,0.2427
3348.5,0.5954,0.0,0.1859,0.2187,0.2011,1.0,0.2366
3348.6,0.5979,0.0,0.1822,0.2199,0.2018,1.0,0.2337
3348.7,0.6064,0.0,0.1769,0.2167,0.1977,1.0,0.2349
3348.8,0.6148,0.0,0.1737,0.2114,0.1924,1.0,0.2393
3348.9,0.6196,0.0,0.1737,0.2067,0.1882,1.0,0.2421
3349.0,0.6213,0.0,0.1733,0.2054,0.1878,1.0,0.2354
3349.1,0.6273,0.0,0.1678,0.2048,0.1885,1.0,0.2201
3349.2,0.6404,0.0,0.1568,0.2028,0.1873,1.0,0.202
